Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,smallmammals,dense,Baseline,None,30,10,45.26,8.79,23.0,56.2,50.62,0.0
inceptionv3,smallmammals,dense,tafe,0.0,30,10,49.98,5.65,39.0,59.6,53.7,4.59
inceptionv3,smallmammals,dense,tafe,1e-45,30,10,49.52,4.0,41.2,54.4,4.36,96.14
inceptionv3,smallmammals,dense,tafe,1e-25,30,10,43.5,4.53,33.8,48.4,3.04,97.75
inceptionv3,smallmammals,dense,tafe,1e-15,30,10,42.44,2.57,38.6,47.0,3.67,98.83
inceptionv3,smallmammals,dense,tafe,1e-05,30,10,31.48,3.14,23.2,34.2,2.68,99.76
resnet50,smallmammals,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,49.7,0.0
resnet50,smallmammals,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,20.08,67.19
resnet50,smallmammals,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.21,95.8
resnet50,smallmammals,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.91,96.29
resnet50,smallmammals,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.63,96.83
resnet50,smallmammals,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.04,98.1
