Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
ablation,inceptionv3,bird,pool,Baseline,None,30,10,52.38,0.81,50.97,53.77,13.12,0.0
ablation,inceptionv3,bird,pool,tafe,0.0,30,10,52.6,1.1,50.19,54.02,13.6,0.0
ablation,inceptionv3,bird,pool,tafe,1e-45,30,10,0.94,0.25,0.6,1.42,5.96,25.63
ablation,inceptionv3,bird,pool,tafe,1e-25,30,10,0.78,0.24,0.52,1.33,4.38,53.47
ablation,inceptionv3,bird,pool,tafe,1e-15,30,10,0.94,0.23,0.6,1.46,5.52,66.31
ablation,inceptionv3,bird,pool,tafe,1e-05,30,10,0.78,0.33,0.22,1.33,4.43,86.18
ablation,xception,bird,pool,Baseline,None,30,10,54.6,0.68,53.38,55.66,16.07,0.0
ablation,xception,bird,pool,tafe,0.0,30,10,0.56,0.15,0.3,0.77,8.0,1.56
ablation,xception,bird,pool,tafe,1e-45,30,10,1.42,0.15,1.12,1.59,7.97,8.25
ablation,xception,bird,pool,tafe,1e-25,30,10,1.57,0.19,1.16,1.81,7.63,13.13
ablation,xception,bird,pool,tafe,1e-15,30,10,0.9,0.2,0.47,1.12,6.9,17.87
ablation,xception,bird,pool,tafe,1e-05,30,10,0.85,0.21,0.39,1.08,7.97,31.1
ablation,densenet201,bird,pool,Baseline,None,30,10,65.47,0.61,64.53,66.51,14.63,0.0
ablation,densenet201,bird,pool,tafe,0.0,30,10,65.36,0.82,63.75,67.03,13.98,0.0
ablation,densenet201,bird,pool,tafe,1e-45,30,10,0.62,0.15,0.3,0.86,7.24,17.81
ablation,densenet201,bird,pool,tafe,1e-25,30,10,0.86,0.22,0.52,1.21,6.75,34.06
ablation,densenet201,bird,pool,tafe,1e-15,30,10,0.41,0.14,0.26,0.65,4.77,47.5
ablation,densenet201,bird,pool,tafe,1e-05,30,10,0.5,0.12,0.34,0.73,3.7,75.47
non-ablation,inceptionv3,bird,pool,Baseline,None,30,10,51.86,1.03,50.02,53.21,15.23,0.0
non-ablation,inceptionv3,bird,pool,tafe,0.0,30,10,52.81,0.66,51.74,53.9,17.94,0.0
non-ablation,inceptionv3,bird,pool,tafe,1e-45,30,10,54.18,0.76,52.78,55.06,15.74,25.63
non-ablation,inceptionv3,bird,pool,tafe,1e-25,30,10,54.07,0.87,52.78,55.06,12.23,53.47
non-ablation,inceptionv3,bird,pool,tafe,1e-15,30,10,53.33,0.6,51.7,54.11,12.25,66.31
non-ablation,inceptionv3,bird,pool,tafe,1e-05,30,10,50.46,0.67,49.46,52.0,8.68,86.18
non-ablation,xception,bird,pool,Baseline,None,30,10,54.52,0.54,53.59,55.27,15.47,0.0
non-ablation,xception,bird,pool,tafe,0.0,30,10,54.49,0.86,52.56,55.32,15.0,1.56
non-ablation,xception,bird,pool,tafe,1e-45,30,10,54.53,0.49,53.81,55.27,18.22,8.25
non-ablation,xception,bird,pool,tafe,1e-25,30,10,54.59,0.53,53.55,55.32,19.09,13.13
non-ablation,xception,bird,pool,tafe,1e-15,30,10,54.99,0.63,53.55,55.88,19.13,17.87
non-ablation,xception,bird,pool,tafe,1e-05,30,10,54.94,0.39,54.28,55.49,14.87,31.1
non-ablation,densenet201,bird,pool,Baseline,None,30,10,65.53,0.5,64.4,66.51,18.76,0.0
non-ablation,densenet201,bird,pool,tafe,0.0,30,10,65.73,0.63,64.61,67.11,18.1,0.0
non-ablation,densenet201,bird,pool,tafe,1e-45,30,10,65.47,0.53,64.7,66.51,18.6,17.81
non-ablation,densenet201,bird,pool,tafe,1e-25,30,10,63.96,0.48,62.89,64.57,15.85,34.06
non-ablation,densenet201,bird,pool,tafe,1e-15,30,10,63.29,0.37,62.72,63.67,15.93,47.5
non-ablation,densenet201,bird,pool,tafe,1e-05,30,10,56.43,0.63,55.4,57.3,14.94,75.47
